Composer	Title	RISM ID	A number	B number
"Gow, Niel$d1727-1807$030012348"	"A third collection of strathspey reels &c. with a bass for the violoncello or harpsichord [Edinburgh, N. & M. Stewart]"	990022338	G 3252; GG 3252	
"Gow, John$d1764c-1826$030009243"	"[mit Andrew Gow:] A collection of slow airs, strathspeys and reels, with a bass for the violincello [!], harpsichord or piano forte [London, W. Campbell]"	990022310	G 3224; GG 3224	
"Gow, Nathaniel$d1763-1831$030006078"	"A complete collection of originall German valtz [!], for the piano forte or violin, and violincello with a second violin accompaniment [Edinburgh, Gow & Shepherd]"	990022312	G 3226; GG 3226	
"Graeff, Johann Georg$d18/19$030012301"	"Six solos [G, C, D, A, F, G] for a german flute, with a figur'd bass, for the harpsichord or violoncello ... op. 5 [London, J. Bland]"	990022364	G 3280; GG 3280	
"Gow, Nathaniel$d1763-1831$030006078"	"The union, composed from ... God save the King ... to which are added four favorite tunes ... [pf] [Edinburgh, Gow & Shepherd]"	990022327	G 3241; GG 3241	
"Gow, Niel$d1727-1807$030012348"	"A fourth collection of strathspey reels, &c. for the piano forte, violin & violoncello [Edinburgh, Gow & Shepherd]"	990022340	G 3254; GG 3254	
"Fiala, Joseph$d1748-1816$049050"	"[title page:] TROIS QUATUORS | pour | Deux Violons, Alto & Basse | Composés par | Joseph Fiala | Oeuvre III|m|e | C. P. S. C. M."	990017928	F 704	
"Fiala, Joseph$d1748-1816$049050"	"Trois quatuors pour deux violons, alto & basse ... œuvre ([handschriftlich:] 4) [Wien, Artaria & Co.]"	990017929	F 705; FF 705	
"Händel, Georg Friedrich$d1685-1759$036552"	"Acis and Galatea a mask as it was originally compos'd with the overture, recitativo's, songs, duets & choruses, for voices and instruments. Set to musick by M|r Handel [London, John Walsh]"	990024708	H 380; HH 380	
"Händel, Georg Friedrich$d1685-1759$036552"	"Athalia. An oratorio or sacred drama in score, the music composed in the year 1733 [London, Samuel Arnold; John Longman; Broderip]"	990025736	H 1494; HH 1494	
"Händel, Georg Friedrich$d1685-1759$036552"	"Theodora. An oratorio in score, composed in the year 1750 [London, Samuel Arnold; John Longman; Broderip]"	990025737	H 1495; HH 1495	
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum [B] in score, composed for His Grace the Duke of Chandos (in the year 1719) [London, Samuel Arnold; John Longman; Broderip]"	990025740	H 1498; HH 1498	
"Händel, Georg Friedrich$d1685-1759$036552"	"A grand Te Deum, composed in the year 1713 for the peace of Utrecht [London, Samuel Arnold; John Longman; Broderip]"	990025741	H 1499; HH 1499	
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum, composed in the year 1743 for the victory at Dettingen [London, Samuel Arnold; John Longman; Broderip]"	990025743	H 1501; HH 1501	
"Händel, Georg Friedrich$d1685-1759$036552"	"The musick for the royal fireworks, performed in the year 1749 [London, Samuel Arnold; John Longman; Broderip]"	990025748	H 1506; HH 1506	
"Händel, Georg Friedrich$d1685-1759$036552"	"Samson. A sacred oratorio in score, the words taken from Milton, the musick composed in the year 1742 [London, Samuel Arnold; John Longman; Broderip]"	990025757	H 1515; HH 1515	
"Händel, Georg Friedrich$d1685-1759$036552"	"Joshua. A sacred oratorio, in score, composed in the year 1747 [London, Samuel Arnold; John Longman; Broderip]"	990025760	H 1518; HH 1518	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VI|a: As pants the hart] ... Anthem VIII [London, Samuel Arnold; John Longman; Broderip]"	990025772	H 1530; HH 1530	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem IX: O praise the Lord with one consent] ... Anthem XI [London, Samuel Arnold; John Longman; Broderip]"	990025775	H 1533; HH 1533	
"Händel, Georg Friedrich$d1685-1759$036552"	"A third set of lessons for the harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025790	H 1548; HH 1548	
"Händel, Georg Friedrich$d1685-1759$036552"	"Deborah. A sacred oratorio in score, composed in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025795	H 1553; HH 1553	
"Händel, Georg Friedrich$d1685-1759$036552"	"Anthem. For the victory at Dettingen, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025801	H 1559; HH 1559	
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertos (commonly called the hautboy concertos) for two violins, two hautboys, two german flutes, two tenors, two bassoons, two violoncellos, and a basso continuo, chiefly composed at Cannons, in the year 1720, and published about the year 1729 [op. 3] [London, Samuel Arnold; John Longman; Broderip]"	990025810	H 1568; HH 1568	
"Händel, Georg Friedrich$d1685-1759$036552"	"Two trios, and four cantatas, in score [London, Samuel Arnold; John Longman; Broderip]"	990025811	H 1569; HH 1569	
"Händel, Georg Friedrich$d1685-1759$036552"	"Thirteen chamber duetto's and twelve cantatas [London, Samuel Arnold; John Longman; Broderip]"	990025812	H 1570; HH 1570	
"Händel, Georg Friedrich$d1685-1759$036552"	"Sosarme. Opera in tre atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell'anno 1732 [London, Samuel Arnold; John Longman; Broderip]"	990025746	H 1504; HH 1504	
"Händel, Georg Friedrich$d1685-1759$036552"	"Semele. A dramatick performance in score, the words altered from Congreve, the musick composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025749	H 1507; HH 1507	
"Händel, Georg Friedrich$d1685-1759$036552"	"Seven sonatas or trios [op. 5] for two violins or two german flutes and a violoncello, composed and published in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025756	H 1514; HH 1514	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem III: Have mercy upon me] ... Anthem IV [London, Samuel Arnold; John Longman; Broderip]"	990025768	H 1526; HH 1526	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem X: The Lord is my light] ... Anthem IX [London, Samuel Arnold; John Longman; Broderip]"	990025773	H 1531; HH 1531	
"Händel, Georg Friedrich$d1685-1759$036552"	"The occasional oratorio in score, composed in the year 1745 [London, Samuel Arnold; John Longman; Broderip]"	990025781	H 1539; HH 1539	
"Händel, Georg Friedrich$d1685-1759$036552"	"A second set of six concertos, in score, for the organ or harpsichord, with accompanyments for two violins, two hautboys, viola & violoncello ...concerto I-VI [op. 7] [London, Samuel Arnold; John Longman; Broderip]"	990025787	H 1545; HH 1545	
"Händel, Georg Friedrich$d1685-1759$036552"	"A second set of lessons for the harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025789	H 1547; HH 1547	
"Händel, Georg Friedrich$d1685-1759$036552"	"La resurrezione. Oratorio sacro in partizione [London, Samuel Arnold; John Longman; Broderip]"	990025808	H 1566; HH 1566	
"Haigh, Thomas$d1769-1808c$030004004"	"A favorite duett [B] for two performers on one piano forte, in which is introduced the Portugueze hymn on the Nativity. [London, Thomas Preston]"	990026036	H 1801	
"Händel, Georg Friedrich$d1685-1759$036552"	"Mio cor - II confine della vita. Aria nel Muzio Scaevola di Sig|r Handel. [[London], [Benjamin Goodison]]"	990024570	H 208	
"Händel, Georg Friedrich$d1685-1759$036552"	"The works of Handel, in score, correct, uniform, and complete. Consisting of his oratorios, operas, duets, anthems, concertos, lessons, Te Deums, trios, fugues &c. Elegantly engraved, on large folio plates, under the immediate direction of Dr. Arnold [[London], S. Arnold; L. Longman; Broderip]"	990025735	H 1493; HH 1493	
"Händel, Georg Friedrich$d1685-1759$036552"	"Symphony to the Jubilate [London, Samuel Arnold; John Longman; Broderip]"	990025744	H 1502; HH 1502	
"Händel, Georg Friedrich$d1685-1759$036552"	"The celebrated water musick in score, composed in the year 1716 [London, Samuel Arnold; John Longman; Broderip]"	990025747	H 1505; HH 1505	
"Händel, Georg Friedrich$d1685-1759$036552"	"Acis and Galatea. A serenata, composed for the Duke of Chandos in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025750	H 1508; HH 1508	
"Händel, Georg Friedrich$d1685-1759$036552"	"An ode or serenata for the birthday of Queen Ann, composed in the year 1713 [London, Samuel Arnold; John Longman; Broderip]"	990025758	H 1516; HH 1516	
"Händel, Georg Friedrich$d1685-1759$036552"	"Joseph. A sacred oratorio in score, composed in the year 1746 [London, Samuel Arnold; John Longman; Broderip]"	990025783	H 1541; HH 1541	
"Händel, Georg Friedrich$d1685-1759$036552"	"Twelve sonatas or solo's for the german flute, hautboy and violin, published about the year 1724 [London, Samuel Arnold; John Longman; Broderip]"	990025794	H 1552; HH 1552	
"Händel, Georg Friedrich$d1685-1759$036552"	"L'Allegro, il pensieroso, ed il moderato. The words taken from Milton, the musick composed in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025797	H 1555; HH 1555	
"Händel, Georg Friedrich$d1685-1759$036552"	"A short Te Deum [D] in score, composed for Her late Majesty Queen Caroline in the year 1737 [London, Samuel Arnold; John Longman; Broderip]"	990025739	H 1497; HH 1497	
"Händel, Georg Friedrich$d1685-1759$036552"	"A grand Jubilate, composed in the year 1713 for the peace of Utrech[t] [London, Samuel Arnold; John Longman; Broderip]"	990025742	H 1500; HH 1500	
"Händel, Georg Friedrich$d1685-1759$036552"	"The Choice of Hercules. In score, composed in the year 1745 [London, Samuel Arnold; John Longman; Broderip]"	990025759	H 1517; HH 1517	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem IV: O sing unto the Lord] ... Anthem VI [London, Samuel Arnold; John Longman; Broderip]"	990025770	H 1528; HH 1528	
"Händel, Georg Friedrich$d1685-1759$036552"	"Saul. A sacred oratorio in score, composed in the year 1740 [London, Samuel Arnold; John Longman; Broderip]"	990025784	H 1542; HH 1542	
"Händel, Georg Friedrich$d1685-1759$036552"	"Jephtha. A sacred oratorio. In score, composed in the year 1751 [London, Samuel Arnold; John Longman; Broderip]"	990025785	H 1543; HH 1543	
"Händel, Georg Friedrich$d1685-1759$036552"	"Lessons for the harpsichord, first published in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025788	H 1546; HH 1546	
"Händel, Georg Friedrich$d1685-1759$036552"	"Agrippina. Opera in tre atti rappresentata al teatro di Venizzia nell' anno 1709 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025796	H 1554; HH 1554	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XIV: Sing unto God]. Anthem, for the wedding of Frederick Prince of Wales, and the Princess of Saxa-Gotha, composed in the year 1736 [London, Samuel Arnold; John Longman; Broderip]"	990025798	H 1556; HH 1556	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthems I: Zadock, the priest]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025803	H 1561; HH 1561	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Terpsicore/Il pastor fido]. Masque consisting of a prelude, airs, duettes, a chorus, and dances [London, Samuel Arnold; John Longman; Broderip]"	990025805	H 1563; HH 1563	
"Händel, Georg Friedrich$d1685-1759$036552"	"Hercules. An oratorio in score, composed in the year 1744 [London, Samuel Arnold; John Longman; Broderip]"	990025752	H 1510; HH 1510	
"Händel, Georg Friedrich$d1685-1759$036552"	"Judas Macchabaeus. A sacred oratorio in score, with all the additional alterations, composed in the year 1746 [London, Samuel Arnold; John Longman; Broderip]"	990025753	H 1511; HH 1511	
"Händel, Georg Friedrich$d1685-1759$036552"	"Six sonatas [op. 2] for two violins, two hautboys, or two german flutes and a violoncello, first published at Amsterdam 1731 [London, Samuel Arnold; John Longman; Broderip]"	990025755	H 1513; HH 1513	
"Händel, Georg Friedrich$d1685-1759$036552"	"Belshazzar. A sacred oratorio, in score, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025764	H 1522; HH 1522	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XI|a: Let God arise] ... Anthem III [London, Samuel Arnold; John Longman; Broderip]"	990025767	H 1525; HH 1525	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem II: In the Lord put I my trust] ... Anthem X [London, Samuel Arnold; John Longman; Broderip]"	990025774	H 1532; HH 1532	
"Händel, Georg Friedrich$d1685-1759$036552"	"Alcides [Alceste]. An English opera in score [London, Samuel Arnold; John Longman; Broderip]"	990025777	H 1535; HH 1535	
"Händel, Georg Friedrich$d1685-1759$036552"	"Solomon. A sacred oratorio in score, with all the additional alterations, composed in the year 1749 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025778	H 1536; HH 1536	
"Händel, Georg Friedrich$d1685-1759$036552"	"Israel in Egypt. A sacred oratorio in score composed in the year 1738 [London, Samuel Arnold; John Longman; Broderip]"	990025779	H 1537; HH 1537	
"Händel, Georg Friedrich$d1685-1759$036552"	"Ode on St. Cecilia's day, the words by Dryden, set to musick in the year 1736 [London, Samuel Arnold; John Longman; Broderip]"	990025782	H 1540; HH 1540	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem IV: Let thy hand be strengthened]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025802	H 1560; HH 1560	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem III: My heart is inditing]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025804	H 1562; HH 1562	
"Händel, Georg Friedrich$d1685-1759$036552"	"The triumph of time and truth. An oratorio in score, composed in the year 1751 [London, Samuel Arnold; John Longman; Broderip]"	990025807	H 1565; HH 1565	
"Händel, Georg Friedrich$d1685-1759$036552"	"Twelve grand concertos [op. 6], in score, composed in the year 1737 [London, Samuel Arnold; John Longman; Broderip]"	990025761	H 1519; HH 1519	
"Händel, Georg Friedrich$d1685-1759$036552"	"The music in the Alchymist [= Ouverture und Ballettmusik aus: Rodrigo] [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025762	H 1520; HH 1520	
"Händel, Georg Friedrich$d1685-1759$036552"	"Alexander's feast, an ode on Saint Cecilia's Day. The words by Dryden, the musick composed in the year 1736 [London, Samuel Arnold; John Longman; Broderip]"	990025763	H 1521; HH 1521	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem V|a: I will magnify thee]. Anthem, in score, composed at Cannons, for His Grace the Duke of Chandos between the year's 1718 & 1720 ... Anthem Ist [London, Samuel Arnold; John Longman; Broderip]"	990025765	H 1523; HH 1523	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XI|b: Let God arise] ... Anthem II [London, Samuel Arnold; John Longman; Broderip]"	990025766	H 1524; HH 1524	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VIII: O come let us sing unto the Lord] ... Anthem V [London, Samuel Arnold; John Longman; Broderip]"	990025769	H 1527; HH 1527	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VII: My song shall be always] ... Anthem VII [London, Samuel Arnold; John Longman; Broderip]"	990025771	H 1529; HH 1529	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XII: O praise the Lord, ye angels of His] ... Anthem XII [London, Samuel Arnold; John Longman; Broderip]"	990025776	H 1534; HH 1534	
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertante in nine parts [= Concerto grosso C], for two violins and a violoncello obligati, composed in the year 1738 [London, Samuel Arnold; John Longman; Broderip]"	990025780	H 1538; HH 1538	
"Händel, Georg Friedrich$d1685-1759$036552"	"Six concertos, in score, for the organ or harpsichord, with accompanyments for two violins, two hautboys, viola & violoncello ... concerto I-VI [op. 4] [London, Samuel Arnold; John Longman; Broderip]"	990025786	H 1544; HH 1544	
"Händel, Georg Friedrich$d1685-1759$036552"	"Six fugues or voluntary's for the organ or harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025791	H 1549; HH 1549	
"Händel, Georg Friedrich$d1685-1759$036552"	"Alexander Balus. An oratorio in score, composed in the year 1747 [London, Samuel Arnold; John Longman; Broderip]"	990025806	H 1564; HH 1564	
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthem II: The King shall rejoice]. Anthem for the coronation of Georg II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025809	H 1567; HH 1567	
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertos &c. for the organ in score, now first published 1797 [London, Samuel Arnold; John Longman; Broderip]"	990025813	H 1571; HH 1571	
"Händel, Georg Friedrich$d1685-1759$036552"	"Giulio Cesare. Opera in tre atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell' anno 1723 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025754	H 1512; HH 1512	
"Händel, Georg Friedrich$d1685-1759$036552"	"Susanna. A sacred oratorio. In score, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025792	H 1550; HH 1550	
"Händel, Georg Friedrich$d1685-1759$036552"	"Esther. A sacred oratorio. In score, composed in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025793	H 1551; HH 1551	
"Händel, Georg Friedrich$d1685-1759$036552"	"Anthem, for the funeral of Queen Caroline, composed in the year 1737 [London, Samuel Arnold; John Longman; Broderip]"	990025800	H 1558; HH 1558	
"Händel, Georg Friedrich$d1685-1759$036552"	"Messiah. A sacred oratorio in score with all the additional alterations, composed in the year 1741 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025738	H 1496; HH 1496	
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum [A] in score, composed for His Grace the Duke of Chandos (in the year 1720) [London, Samuel Arnold; John Longman; Broderip]"	990025745	H 1503; HH 1503	
"Händel, Georg Friedrich$d1685-1759$036552"	"Teseo. Opera in cinque atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell' anno 1713 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025751	H 1509; HH 1509	
"Cimarosa, Domenico$d1749-1801$052222"	"L'Italienne à Londre. Opéra bouffon en trois actes musique ... représenté au théâtre de Monsieur ([andere Ausgabe:] représenté au théâtre de la rue Feydeau) [Paris, Sieber]"	990009739	C 2293; CC 2293	
"Cimarosa, Domenico$d1749-1801$052222"	"Il matrimonio segreto. Dramma giocoso in due atti, ou Le mariage secret, opéra comique en deux actes ... paroles françaises de Moline [Paris, Imbault (Louis Aubert)]"	990009750	C 2304; CC 2304	
"Dale, Joseph$d1750-1821$030012177"	"Three sonatas [G, D, E] for the piano forte or harpsichord with accompaniments for a flute and violoncello ... opera VIII [London, author]"	990012656	D 753; DD 753	
"Corri, Natale$d1765-1822$030013564"	"Three sonatas [Es, C, D] for the piano forte or harpsichord, with an accompanyment for a violin ... op. 1st [Edinburgh, Corri & Sutherland]"	990011498	C 4132	
"Dalayrac, Nicolas-Marie$d1753-1809$027764"	"Adolphe et Clara, ou Les deux prisonniers. Comédie en un acte et en prose. Paroles de B. J. Marsollier [Paris, Pleyel (Huguet)]"	990011971	D 22; DD 22	
"Dance, William$d1755-1840$030014659"	"Three lessons for the piano forte with an accompanyment for a violin and eight preludes in different keys ... opera terza [London, Longman & Broderip; author]"	990012779	D 883	
"Carter, Thomas$d1735c-1804$030005090"	"Canons, glees, and catches, for two, three, and four voices ... op. XII [London, Harrison & Co.]"	990008961	C 1304; CC 1304	
"Corelli, Arcangelo$d1653-1713$030000734"	"Six setts of aires for two flutes and a bass ... being the choicest of his preludes, allmands, sarabands, corants, minuets, and jiggs, collected out of his several opera's, transpos'd and fitted to y|e flute [London, John Walsh & J. Hare]"	990011278	C 3894; CC 3894	
"Corfe, Joseph$d1740-1820$030015941"	"Twelve glees, for three and four voices, composed from ancient Scotch melodies [book I] [London, to be had at the principal music shops]"	990011294	C 3917; CC 3917	
"Corelli, Arcangelo$d1653-1713$030000734"	"Six solos for a flute and a bass by Arcangelo Corelli being the second part of his fifth opera ... the whole exactly transpos'd and made fitt for a flute and a bass with the aprobation of several eminent masters [London, John Walsh & J. Hare]"	990011268	C 3884; CC 3884	
"Dalayrac, Nicolas-Marie$d1753-1809$027764"	"Œuvre XII. Camille, ou Le souterrain. Comédie en trois actes en prose par M|r Marsollier [Paris, Pleyel (Huguet)]"	990012079	D 138; DD 138	
"Dalayrac, Nicolas-Marie$d1753-1809$027764"	"La dot. Comédie en trois actes et en prose, par M. Desfontaines ... œuvre IV [Paris, auteur (Huguet)]"	990012169	D 236	
"Cramer, Wilhelm$d1746-1799$030000759"	"Six trios for two violins and a bass, op. III [London, William Napier]"	990011741	C 4391; CC 4391	
"Corfe, Joseph$d1740-1820$030015941"	"A third set of twelve glees, for three and four voices, arranged from the melodies of Sacchini, Paisello, Haydn, Pleyel, Storace, &c [London, Bath, to be hat at the principal music shops]"	990011299	C 3923; CC 3923	
"Dauvergne, Antoine$d1713-1797$030000801"	[title page] LES | TROQUEURS | INTERMEDE | PAR | M.|R DAUVERGNE | Ordinaire de la Musique de la Chambre du Roy | Et de L'Academie Royale de Musique. | Prix en Blanc 12.|t|t | Gravé par Les.|r Hue. | A PARIS | Chez {L'Auteur Rue plastriere la quatrieme porte-cochere a gauche | Entrant par la Rue grenette. | M.|r Vernade Rue du roule à la Croix d'Or. | M.|r Bayard Rue Saint Honore à la Regle d'Or. | Avec Approbation et Privilege | du Roy. | Imprimé par Auguste de Loraine.	990012977	D 1097; DD 1097	
"Dance, William$d1755-1840$030014659"	"God save the king. Arranged for the piano forte, with new variations, and an introductery movement, and coda [London, Lewis Lavenu]"	990012781	D 886; DD 886	
"Cocchi, Gioacchino$d1712-1796$030000691"	"The favourite songs in the opera call'd Zenobia [vgl. auch Demetrio] [London, John Walsh]"	990010650	C 3238; CC 3238	
"Corelli, Arcangelo$d1653-1713$030000734"	"The score of the four operas ... the whole revis'd and carefully corrected by Dr. Pepusch [London, John Walsh]"	990011183	C 3798; CC 3798	
"Corelli, Arcangelo$d1653-1713$030000734"	"Twelve sonatas for the harpsichord or organ, with accompaniments [London, Harrison & Co.]"	990011076	C 3691; CC 3691	
"Corelli, Arcangelo$d1653-1713$030000734"	"Sonate a violino e violono ... da Arcangelo Corelli [London, Benjamin Cooke]"	990011209	C 3824; CC 3824	
"Corelli, Arcangelo$d1653-1713$030000734"	PARTE PRIMA | SONATE A VIOLINO E VIOLONE O CIMBALO | DEDICATE ALL ALTEZZA SERENISSIMA ELETTORALE DI | SOFIA CARLOTTA | ELETTRICE DI BRANDENBVRGO | PRINCIPESSA DI BRVNSWICH ET LVNEBVRGO DVCHESSA DI | PRVSSIA E DI MAGDEBVRGO CLEVES GIVLIERS BERGA STETINO | POMERANIA CASSVBIA E DE VANDALI IN SILESIA CROSSEN | BVRGRAVIA DI NORIMBERG PRINCIPESSA DI HALBERSTATT | MINDEN E CAMIN CONTESSA DI HOHENZOLLERN E | RAVENSPVRG RAVENSTAIN LAVENBVRG E BVTTAV | DA ARCANGELO CORELLI DA FVSIGNANO | OPERA QVINTA. | Si vendono a Pasquino all' Insegna della Stella da Filippo Farinelli. [space] Jncisa da Gasparo Pietra Santa	990011186	C 3801; CC 3801	
"Corelli, Arcangelo$d1653-1713$030000734"	"Corelli's celebrated concerto as performed by M|r. Cramer ... adapted for the organ, harpsichord, or piano forte by Thomas Billington, opera IX [London, Longman & Broderip]"	990011272	C 3888	
"Corfe, Joseph$d1740-1820$030015941"	"... 2d edition [London, to be had at all the principal music shops]"	990011298	C 3921	
"Hayes, William$d1708-1777$030004689"	"Harmonia Wiccamica. The original music in score of the graces, Jam lucis, and Dulce domum ... collated, revised & corrected by P. Hayes [mit ""Let omnibus Wiccamicis in a bumper now go round"" a 3v, von W. Hayes] [London, editor]"	990029026	H 4888	
"Hayes, William$d1708-1777$030004689"	"Vocal and instrumental musick, in three parts, containing, I. the overture and songs in the masque of Circe. II. a sonata or trio, and songs of different kinds, viz. ballads, airs and cantatas. III. an ode, being part of an exercise perform'd for a bachelor's degree in musick. [[Oxford], author]"	990029037	H 4899	
"Haydn, Joseph$d1732-1809$055803"	"A favorite lesson for the piano forte [London, Harrison & Co.]"	990027508	H 3350; HH 3350	
"Haydn, Joseph$d1732-1809$055803"	"Trois quatuors pour deux violons, taille et violoncelle ... œuvre XXIX, libro I [Berlin, J. J. Hummel; Amsterdam, grand magazin de musique]"	990027657	H 3500; HH 3500	
"Haydn, Joseph$d1732-1809$055803"	"Trois sonates pour le piano-forte avec accompagnement de violon & violoncello ... op. 70 [London, Longman & Broderip]"	990027870	H 3714; HH 3714	
"Haydn, Joseph$d1732-1809$055803"	"Trois sonates pour le piano forte avec accompagnement de violon & violoncello ... op. 73 [London, Longman & Broderip]"	990027893	H 3737; HH 3737	
"Haydn, Joseph$d1732-1809$055803"	"3d sonata from op. 17 [London, Birchall & Andrews]"	990028059	H 3906	
"Haydn, Joseph$d1732-1809$055803"	"A favourite overture ... adapted for the piano-forte or harpsichord with an accompanyment for a violin by Charles Frederic Horn [London, Longman & Broderip]"	990028718	H 4570; HH 4570	
"Haydn, Joseph$d1732-1809$055803"	"... [London, Longman & Broderip]"	990027810	H 3653	
"Haydn, Joseph$d1732-1809$055803"	"Trois sonates pour clavecin ou fortépiano avec violon et violoncelle ... œuvre 79 [Paris, Sieber]"	990027886	H 3730	
"Haydn, Joseph$d1732-1809$055803"	"Haydn's sonata IIII from op. 17 [London, J. Bland]"	990028065	H 3912	
"Haydn, Joseph$d1732-1809$055803"	"... libro II [Berlin, Amsterdam, Johann Julius Hummel]"	990027658	H 3501; HH 3501	
"Haydn, Joseph$d1732-1809$055803"	"[vl 1, cover title:] Musica Instrumentale | Sopra le sette ultime Parole del nostro Redentore in Croce | o sieno | Sette Sonate | con un Introduzione ed al Fine un Teremoto | Composte e ridotte | in Quartetti | Per due Violini, Viola, e Violoncello | dal Sig|r|e | Giuseppe Haydn | Maestro di Capella di S. A. S. il Principe d'Esterhazy | Opera 48. | in Vienna | presso Artaria Compagni."	990027660	H 3503; HH 3503	
"Haydn, Joseph$d1732-1809$jAscertained$055803"	"[title page:] SIX QUATUORS | ou | DIVERTISSEMENTS | A | DEUX VIOLONS, TAILLE | et BASSE. | Composés | Par | JOSEPH HAYDN. | Oeuvre XIX | [on the left:] N|o 527. [on the right:] Prix f. 6.- | Chés Jean Julien Hummel | à Berlin avec Privilège du Roi, | à Amsterdam au Grand Magazin de Musique et aux Adresses ordinaires."	990027638	H 3481; HH 3481	
"Händel, Georg Friedrich$d1685-1759$036552"	"Handel's songs, selected from his oratorios, for the harpsichord, voice, hoboy, or german flute, vol. I(-IV) [London, J. Walsh]"	990025355	H 1075; HH 1075	
"Händel, Georg Friedrich$d1685-1759$036552"	"Alexander's feast, or The power of musick. An ode wrote in honour of St. Cecilia by M|r Dryden, set to musick by M|r Handel, with the recitativo's, songs, symphonys and chorus's for voices & instruments, together with the cantata, duet, and songs, as perform'd at the Theatre Royal, in Covent Garden, publish'd by the author [enthält auch die italienische Kantate: Cecilia volgi un sguardo, sowie An additional song sung by Sigr. Hannibali: Sei del ciel dono perfetto] [London, J. Walsh]"	990025277	H 994; HH 994	
"Giordani, Tommaso$d1733c-1806$063972"	"Sei quartetti [Es, F, C, A, B, d/D] per due violini, viola, e violoncello ... opera VIII. [London, William Napier]"	990021427	G 2278	
"Gluck, Christoph Willibald$d1714-1787$067338"	"Iphigénie en Tauride. Tragédie en quatre actes, par M. Guillard, mise en musique et dédié à la Reine ... représentée pour la première fois par l'Académie royale de musique le mardi 18 may 1779 [Paris, Bureau du journal de musique]"	990021934	G 2815; GG 2815	
"Gow, Niel$d1727-1807$030012348"	"A collection of strathspey reels, with a bass for the violoncello or harpsichord [Edinburgh, Neil Stewart; for the author]"	990022331	G 3245; GG 3245	
"Gow, Niel$d1727-1807$030012348"	"A third collection of strathspey reels &c. with a bass for the violoncello or harpsichord [Edinburgh, author]"	990022337	G 3251; GG 3251	
