UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
5865217	"Dussek, Johann Ladislaus,1760-1812."	00$aTrois sonates pour clavecin ou forte piano avec accompagnement de violon.$bOe. 9 / M. Dussek.	"0\$aLondon:$bM. Clementi,$c[179-]"	27 p. of music.	D 4161		990015868			No		RISM ID no. 	990015868	RISM ID no. 990015868
5865390	"Viotti, Giovanni Battista,1755-1824"	"00$aThree trios arranged as sonatas for the piano forte with accompaniments for the violin & bass, $cby Mr Dussek."	"0\$aLondon,$bCorri, Dussek$c[179-]"	42 p. of music.	V 1954		990066942			no		RISM ID no. 	990066942	RISM ID no. 990066942
5865538	"Krumpholz, Jan K*rtitel,1742-1790."	00$aFavorite harp concerto adapted for the harpsichord or piano forte $bby J. L. Dussek.	"0\$aLondon:$bM. Clementi,$c[179-]"	18 p. of music.	KK 2871a		991022138			No	Titles do not match	RISM ID no. 	991022138	RISM ID no. 991022138
6160126	"Bland, John"	"10$aLinley's continuation of Bland's Collection of divine music:$bconsisting of psalms, hymns & anthems, for one, two, three, & four voices.  The words chiefly from Dr. Watts."	"\\$aLondon :$bPrinted and sold by F. Linley,$c[1797]"	"1 score (v. 2, no. 14, 15, 18)"	RISM		Not in RISM							
6160146	"Hering, John Frederic"	10$aTwelve hymns in four parts :$bThe words from Lady Huntingdon's collection. /$cSet to music by John Frederic Hering.	"\\$aLondon :$bPreston,$c[1795]"	1 score (37 p.)	H 5121		990029237			No		RISM ID no. 	990029237	RISM ID no. 990029237
6160151	"Milgrove, Benjamin"	"10$aTwelve hymns and a favourite lyric-poem written by Dr. Watts :$bSet to music for four & five voices, with organ accompaniments /$cby Benjamin Milgrove."	"\\$aLondon :$bPrinted for the author,$c[1781]"	1 score (45 p.)	M 2770		990041430			No		RISM ID no. 	990041430	RISM ID no. 990041430
6160222		14$aThe dying Christian to his soul :$bA celebrated ode by Mr. Pope.  Set to music for three voices.	"\\$aLondon :$bJ. Bland,$c[179-]"	1 score (3 p.)			990052841	"
P 5459"		no		RISM ID no. 	990052841	RISM ID no. 990052841
6160698	"Handel, George Frideric,1685-1759"	10$aWater piece for the harpsichord or piano forte. /$cHandel.	"\\$aLondon :$bJ. Bland,$c[179-]"	3 p. of music	HH 1331b		Not in RISM							
6162539	"Latour, T."	12$aL'Orage :$brondo pastorale pour le piano forte en imitation du celebre rondo de Steibelt /$ccompose...par T. Latour.	"0\$a[London,$bChappell,$c1816]"	0.5	"LL 1058 I, 176 b"		991029658	"LL 1058 I, 176"		No		RISM ID no. 	991029658	RISM ID no. 991029658
6162553	"Latour, T."	12$aFra tante angoscie e palpiti :$bfrom the opera of La Cenerentola /$cby T. Latour.	"0\$a[London,$bChappell,$cbetween 1811 and 1819{rcub}"	9 p. of music	"LL 1058 I, 155"		991029637			No		RISM ID no. 	991029637	RISM ID no. 991029637
6162648	"Latour, T."	"10$aSul margine d'un rio :$ba favorite Italian air with twelve variations for the piano forte, with and accompaniment for the flute ad libitum./$cComposed by T. Latour."	"0\$a[London,$bChappell,$cbetween 1811 and 1820{rcub}"	13 p of music			Not in RISM							
6165597	"Steibelt, Daniel,1765-1823."	13$aIntroduction and brillante movement from Le retour du Zephir /$ccomposed by Steibelt.	"0\$aLondon :$bW. Boag,$c[18--]"	"[1], 16 p. of music."			not in RISM							
6165622	"Mozart, Wolfgang Amadeus,1756-1791."	"00$aOverture to Le nozzed di Figaro,$bfor the piano-forte. /$cComposed by W. A. Mozart"	"00$aLondon :$bW. Boag,$c[18--]"	8 p. of music			not in RISM							
6177258	"Handel, George Frideric,1685-1759."	10$aHush ye pretty warbling choir. /$cComposed by G. F. Handel.	"0\$aLondon :$bR. Major,$c[179-]"	[2] p. of music.			Not in RISM							
6392068	"Mozart, Wolfgang Amadeus,1756-1791."	12$aDon Giovanni :$bopera semiseria in due atti /$cmusica di  A.W. Mozart.	"\\$aA Paris :$bAu magasin de musique de Pacini,$c[1852?]"	1 vocal score (221 p.)	MM 4532		991026807	MM 4532a		no		RISM ID no. 	991026807	RISM ID no. 991026807
6450594	"Mazzinghi, Joseph,1765-1844."	"10$aPaul and Virginia;$ba musical drama, performed ... at the Theatre Royal, Covent Garden,/ $ccomposed by Mazzinghi & Reeve."	"0\$aLondon :$bPrinted by Goulding, Phipps & D'Almaine,$c[between 1800 and 1804]"	"1 vocal score ([1], 55 p.)"	MM 1557		990040247	M 1557		No	Row 483 and 484 are the same piece	RISM ID no. 	990040247	RISM ID no. 990040247
6450594	"Mazzinghi, Joseph,1765-1844."	"10$aPaul and Virginia;$ba musical drama, performed ... at the Theatre Royal, Covent Garden,/ $ccomposed by Mazzinghi & Reeve."	"0\$aLondon :$bPrinted by Goulding, Phipps & D'Almaine,$c[between 1800 and 1804]"	"1 vocal score ([1], 55 p.)"	M 1557									
6483439	"Latour, T."	"10$aIn my cottage near the wood :$ba favorite song. /$c The workds by Miss Calcraft, the variations for the piano forte, composed by T. Latour."	"0\$aLondon,$bPrinted & sold at Bland & Weller,$c[ca.1800]"	4 p of music	"LL 1058 I, 159"		991029641			no		RISM ID no. 	991029641	RISM ID no. 991029641
6913111		00$aDrei Lieder im Grecourschen Geschmuck :$bmit Begleitung des Forte-Piano /$cin Musik gesetzt von X.Y.Z.	"\\$aOranienburg :$bR. Werckmeister,$c[18--]"	1 score (7 p.)	IN 275		990073136			No		RISM ID no. 	990073136	RISM ID no. 990073136
7460834	"Handel, George Frideric,1685-1759"	10$aHandel's overtures from all his operas and oratorios for violins &c. in 8 parts.	"0\$aLondon :$bPrinted for I. Walsh,$c[1760]"	9 parts	H 1285		990025531			no		RISM ID no. 	990025531	RISM ID no. 990025531
7460871	"Maldere, Pierre van,1729-1768."	"00$aSix favourite overtures in 8 parts, op. 4 /$cP. van Maldere."	"\\$aLondon :$bLongman Lukey,$c[179-]"	8 parts;31 cm.	M 217		990038974			no		RISM ID no. 	990038974	RISM ID no. 990038974
7460906	"Maldere, Pierre van,1729-1768."	01$aA select overture in 8 parts /$cP. van Maldere.	"\\$aLondon :$bJ. Johnston,Longman Lukey,$c[1775]"	8 parts;31 cm.	M 233		990038990			No		RISM ID no. 	990038990	RISM ID no. 990038990
7460970	"Sacchini, Antonio,1730-1786."	00$aThe periodical overture in 8 parts /$ccomposed by A. Sacchini	"0\$aLondon :$bR. Bremner,$c[177-?]."	8 parts.	S 296		990056819			No		RISM ID no. 	990056819	RISM ID no. 990056819
7460997	"Handel, George Frideric,1685-1759."	"10$aConcerti grossi con due violini e violoncello di concertino obligati e due altri violin viola e basso di concerto grosso, opera terza /$cad arbitrio da G.F. Handel."	"\\$aLondon :$bH. Wright,$c[1785]"	1 part (18 p.)	H 1241		990025487			No		RISM ID no. 	990025487	RISM ID no. 990025487
7461260	"Handel, George Frideric,1685-1759"	"10$aOverture to Occasional in parts, as performed at the Antient Concerts."	0\$aLondon :$bPreston$c[18--]	"parts 1,2"	H 808		990025105			No		RISM ID no. 	990025105	RISM ID no. 990025105
7461316	"Sammartini, Giovanni Battista,1700 or 1701-1775"	"00$aSix sonatas for two violins and a thorough bass, opera prima /$ccompos'd by Gio. Battista St. Martini."	"00$aLondon,$bJ. Simpson$c[1745]"	parts 1-2	S 675		990057173			No		RISM ID no. 	990057173	RISM ID no. 990057173
9002979	"Pepusch, John Christopher,1667-1752."	"14$aThe beggars opera :$bas it is performed at the Theatres Royal in Drury Lane and Covent Garden /$ccomposed by Dr. Pepusch, for the voice, harpsichord, and violin."	"\\$aLondon :$bPrinted for Harrison & Co., No. 18, Paternoster Row, $c [1784?]"	1 close score (26 p.) ;25 x 35 cm.	P 1205		990048785			No		RISM ID no. 	990048785	RISM ID no. 990048785
9003286	"Kelly, Michael,1762-1826."	14$aThe castle spectre :$bas now performing with unbounded applause at the Theatre Royal Drury Lane. /$cThe words by G:M: Lewis [sic] Esqr. ; The music by Michael Kelly.	"\\$aLondon :$bPrinted for & sold by J. Dale, ...,$c[1798]"	1 score (7 p.) ;24 x 34 cm.	KK 319 		990033156			No		RISM ID no. 	990033156	RISM ID no. 990033156
9003303	"Callcott, J. W.(John Wall),1766-1821"	14$aThe fryar of orders gray. /$cJ.W. Callcott..	"\\$a[London :$bs.n.,$cca. 1800]"	1 score (5 p.) ;24 x 34 cm.	I C 154		992005181	C 154		No		RISM ID no. 	992005181	RISM ID no. 992005181
9003316	"Callcott, J. W.(John Wall),1766-1821"	14$aThe red cross knight. /$cSet to music by J.W. Callcott.	"\\$a[London :$bs.n.,$c1797]"	1 score (8 p.) ;24x35 cm.	"I, C 97"		992005171	C 97		No		RISM ID no. 	992005171	RISM ID no. 992005171
a1138080	"Martini, Johann Paul Aegidius,1741-1816."	"10$aSapho :$btragédie lyrique, en trois actes et en vers /$cpar Mme. la ctesse. de Salm-Dyck ; musique de Martini ..."	"0\$aA Paris :$bChez Augte. Le Duc ...,$c[1808?]"	"1 score ([1], 403 p.)"	M 1114		990039831			No		RISM ID no. 	990039831	RISM ID no. 990039831
a1221847	"Méhul, Etienne Nicolas,1763-1817."	"10$aGabrielle d'Estrées,$bou, Les amours d'Henri IV : opéra en trois actes /$cparoles de Mr. de Saint-Just ; musique de Méhul ..."	"0\$aA Paris :$bAu Magasin de musique dirigé par Mrs. Chérubini, Méhul, Kreutzer, Rode, N. Isouard et Boieldieu ...,$c[181-?]"	"1 score ([3], 194 p.)"	M 1828		990040515			No		RISM ID no. 	990040515	RISM ID no. 990040515
a1222511	"Champein, S.(Stanislas),1753-1830"	"13$aLa mélomanie :$bopéra comique en un acte en vers mêlé d'ariettes /$cmis en musique par M. S. Champein ; représenté pour la premiere fois sur le Théâtre de l'Opera comique national, le 23 janvier 1781."	"0\$aÀ Paris :$bChez Des Lauriers ...,$c[179-?]"	"1 score ([3], 128 p.)"	C 1815		990002131			No		RISM ID no. 	990002131	RISM ID no. 990002131
a1222514	"Framery, Nicolas Etienne,1745-1810."	"12$aL'infante de Zamora :$bopéra comique en 3 actes /$cparodié sous la musique de La Frascatana, du célébre Sgr. Paisiello ; représenté à Versailles devant Leurs Majestés et en suite à Strasbourg, à Brest, à Rouen, à Caen, à Marseilles, à Bordeaux, à Toulouse ... par M. Framery ..."	"0\$aA Paris :$bChez M. d'Enouville ...,$c[1790?]"	"1 score ([1], 308 p.)"	F 1587		990018762			No		RISM ID no. 	990018762	RISM ID no. 990018762
a1223938	"Dalayrac, N.(Nicolas),1753-1809"	"10$aNina,$bou, La folle par amour : comédie en un acte et en prose : representée pour la premiere fois par les Comédiens italiens ordinaires du roy le lundi 15 mai 1786 ... /$cmise en musique par M. Dal*** ; oeuvre V ; gravé par Huguet ..."	"0\$aA Paris :$bChez Le Duc ...,$c[1786?]"	"1 score ([1], 113 p.)"	D 432		990012361			No		RISM ID no. 	990012361	RISM ID no. 990012361
a1370950	"Dalayrac, N.(Nicolas),1753-1809."	"10$aSouvenirs agréables,$bou, Pot-pourri d'airs tirés des opéras /$cde Dalayrac ; suivi de 4 variations sur la romance de Nina ; pour le piano-forte ..."	"\\$aA Paris :$bChez J. Pleyel ...,$c[181-?]"	"[1], 2-21 p. of music."							No RISM A or B number			
a1509709	"Coferati, Matteo,1638-1703"	"10$aManvale degli invitatorj :$bcò suo' salmi da cantarsi nell'ore canoniche per ciascuna festa, e feria di tutto l'anno : nell'vfizio paruo della Beatissima Vergine, e de' morti : coll 'aggiunta delle sequenze, e lor canto, e antifone da cantarsi alla distribuzione delle candele, e delle palme /$copera raccolta da Matteo Coferati ..."	"0\$aIn Firenze :$bPer Vincenzio Vangelisti ...,$c1691."	"vij, 180 p. of music :1 ill."		"VI, 229"	Not in RISM							
a1610612	"Dezède,1740?-1792."	"12$aL'erreur d'un moment,$bou, La suite de Julie : comédie en un acte /$cpar M. Monvel ; mise en musique par M. D.Z. ; gravée par le sr Huguet ..."	"0\$aA Paris :$bChés M. Houbaut ...,$c[1773?]"	"1 score ([1], 127 p.)"	D 2216		990014017			No		RISM ID no. 	990014017	RISM ID no. 990014017
a2329747	"Kirnberger, Johann Philipp,1721-1783."	14$aDie Kunst des reinen Satzes in der Musik :$baus sicheren Grundsätzen hergeleitet und mit deutschen Beyspielen erläutert /$cvon Joh. Phil. Kirnberger.	"0\$aBerlin und Königsberg :$bBey G.J. Decker und G.L. Hartung,$c1774-1779."	2 v.		"VI, 453"	Not in RISM							
a2363281	"Mattheson, Johann,1681-1764."	"10$aJohann Matthesons Grosse General-Bass-Schule,$boder, Der exemplarischen Organisten-Probe."	"0\$aHamburg :$bZu finden in Johann Christoph Kissners Buchladen,$c1731."	"[41], 484 p. :ill., music, port."		"VI, 560"	Not in RISM							
a2534094	"Alembert, Jean Le Rond d',1717-1783."	"10$aElémens de musique théoretique et practique :$bsuivant les principes de M. Rameau : éclaircis, développés et simplifiés /$cpar M. d'Alembert ..."	"0\$aA Lyon :$bChez Jean-Marie Bruyset, imprimr. libraire,$c1762."	"[3], xxxvj, 136 (i.e. 236), [3] p., [10] fold. leaves of plates :music."		"VI, 77"	Not in RISM							
a2671972	"Carretti, Gioseffo Maria,1690-1774"	"10$aCredo corali, a una, e due voci :$bcon l'organo, se piace ... /$cda D. Gioseffo Maria Carretti ..."	"\\$aIn Bologna :$bNella Stamperìa di Lelio dalla Volpe,$c1737."	1 score (39 p.)	C 1260		990008918			No		RISM ID no. 	990008918	RISM ID no. 990008918
a2829824	"Haydn, Joseph,1732-1809."	"14$aThe creation :$boratorio /$cby Haydn ; arranged for the piano, accompanied with song, by A. André = Die Schöpfung : ein Oratorium / in Musik gesetzt von Joseph Haydn ; Klavier-Auszug von Anton André ; Englischer und deutscher Text."	"\\$aOffenbach a/M :$bBey J. André,$c[182-]"	1 vocal score (115 p.)	H 4644		990028791			No		RISM ID no. 	990028791	RISM ID no. 990028791
a2881879	"Bianchi, F.(Francesco),approximately 1752-1810"	"13$aLa villanella rapita,$bou, La villageoise enlevée : opéra bonffon [sic] en trois actes : représenté au thé^atre de Monsieur en 1789 /$cmusique italienne de diférens célébres compositeurs ; paroles italienne traduite en françaises, par M. D***."	"\\$aA Paris :$bChez Sieber ...,$c[1789?]"	"1 score ([1], 267 p.)"	B 2560		990005333			No		RISM ID no. 	990005333	RISM ID no. 990005333
a2975719	"Gluck, Christoph Willibald,Ritter von,1714-1787."	"10$aAlceste :$btragedie : opera en trois actes /$cpar Gluck ; representée pour la 1ere fois par l'Académie N.ale de musique, le 30 avril 1776."	"\\$aA Paris:$bChez Des Lauriers ...,$c[ca. 1789]"	"1 score ([3], 293 p.)"	G 2641		990021772			No		RISM ID no. 	990021772	RISM ID no. 990021772
a2975736	"Grétry, André-Ernest-Modeste,1741-1813"	12$aL'amitié a l'épreuve :$bopéra comique en trois actes /$cparoles de Favart ; musique de A. Grétry.	"\\$aA Paris :$bAu magasin de J. Frey ...,$c[181-?]"	"1 score ([3], 170 p.)"	G 3941		990022936			No		RISM ID no. 	990022936	RISM ID no. 990022936
a2975740	"Grétry, André-Ernest-Modeste,1741-1813"	10$aElisca :$bopera comique en trois actes /$cparoles de Favières et Grétry neveu ; musique de A. Grétry.	"\\$aA Paris:$bAu magasin de J. Frey ...,$c[181-?]"	"1 score ([3], 141 p.)"	G 4100		990023054			No		RISM ID no. 	990023054	RISM ID no. 990023054
a3649342	"Haydn, Joseph,1732-1809"	"00$aMesse à 4 voix avec accompagnement de 2 violons, viola et basse, 2 hautbois, 2 clarinettes, 2 bassons, trompettes, timbales et orgue.  No. 1.  Partition."	"00$aLeipsic,$bBreitkopf et Härtel$c[1802]"	score (108 p.)	H 2497		990026662			No		RISM ID no. 	990026662	RISM ID no. 990026662
a3649550	"Costellow, Thomas"	"10$aSunday's amusement;$ba selection of sacred music, as sung at Bedford Chapel.  Selected from Handel, Haydn, Pleyel, and Dr. Boyce.  To which are added a new introductory sentence, Kent's favorite Jubilate, the Lord's Prayer and Gloria Patri.$dThe whole compos'd selected and arranged for the voice and piano forte, by Thomas Costellow."	"00$aLondon,$bPrinted & sold by Longman & Herron$c[between 1816 and 1822]"	"[5], 108 p."	C 4232z		990011597	"C 4232, CC 4232"		No		RISM ID no. 	990011597	RISM ID no. 990011597
a3692328	"Joniot, Jean Joseph"	"13$aLa lire maçonne;$bou, Recueil de chansons des francs-maçons.$cRevu, corrigé, mis dans un nouvel ordre, & augmenté de quantité de chansons qui n'avoient point encore paru; par les freres de Vignoles et Du Bois.  Avec les airs notés, mis sur la bonne clef, tant pour le chant que pour le violon & la flute."	"00$aLa Haye,$bR. van Laak,$c1787."	"[24], xvi, 536 p."		"II, p. 221"	Not in RISM							
a3699497	"Avison, Charles,1710-1770."	"13$aAn essay on musical expression.$cBy Charles Avison, organist in Newcastle.  With alterations and large additions.  To which is added, A letter to the author concerning the music of the ancients, and some passages in classic writers, relating to that subject [by J. Jortin] Likewise, Mr. Avison's Reply to the author of Remarks on the Essay on musical expression.  In a letter from Mr. Avison, to his friend in London."	"00$aLondon,$bL. Davis,$c1775."	"viii, 221, [2] p. ([2] p. at end advertisements)4 fold. plates (music)"		"VI, 103"	Not in RISM							
a3795668	"Adam, Louis,1758-1848"	"10$aMéthode de piano du Conservatoire,$crédigée par L. Adam. Adoptée pour servir à l'enseignement dans cet établissement.  Gravée par Le Roy."	"0\$aParis,$bAu magasin de musique du Conservatoire royal$c[18--]"	"[7], 234, [2] p."	A 265		990000266			No		RISM ID no. 	990000266	RISM ID no. 990000266
a3795674	"Alembert, Jean Le Rond d',1717-1783."	"10$aÉlémens de musique,$btheorique et pratique, suivant les principes de M. Rameau."	"0\$aParis,$bChez David l'aîné,$c1752."	"xvi, 171 p.music (10 fold. plates)"		"VI, 77"	Not in RISM							
a3795739		"00$aApollonian harmony;$ba collection of scarce & celebrated glees, catches, madrigals, canzonetts, rounds & canons, antient & modern, with some originals,$ccomposed by Aldrich [and others] ..."	"00$aLondon,$bS.A. & P. Thompson$c[ca. 1790]"	1 v.front.		"II, 95"								
a3795745	"Arne, Thomas Augustine,1710-1778."	10$aArtaxerxes;$ban opera.$cArranged by John Clarke.	"00$aLondon,$bPrinted & sold by Birchall$c[between 1819 and 1824]"	"[1], 5, [1], 150 p."							No RISM A or B number			
a3795848	"Avison, Charles,1709-1770"	13$aAn essay on musical expression.	"0\$aLondon,$bC. Davis,$c1753."	"[12], 152, 43, [3], 53, [6] p.  (6 p. at end advertisement)4 fold. plates (music)"		"VI, 103"	Not in RISM							
a3795883	"Bach, Johann Sebastian,1685-1750"	"14$aDas wohltemperirte Clavier;$boder, Präludien und Fugen durch alle Töne."	"0\$aZürich,$bH.G. Nägeli$c[between 1792 and 1836]"	2 v. in 1.	B 499		990003453			No		RISM ID no. 	990003453	RISM ID no. 990003453
a3795890	"[Wagner, Georg Gottfried]1698-1756"	10$aLob und Ehre und Weisheit;$bachtstimmige Motette.$cMusik von J.S. Bach.	"0\$aLeipzig,$bBreitkopf & Härtel$c[1819]"	score (17 p.)	"WW 57 I,1"		991005724	BB 447a		No		RISM ID no. 	991005724	RISM ID no. 991005724
a3795894	"Bailleux, Antoine,d. 1791"	"10$aMethode pour apprendre facilement la musique vocale et instrumentale,$bou tous les principes sont developés avec beaucoup de clarté, et cent leçons dans le gout nouveau à une et à deux parties, ce qui enseigne en très peu de tems a solfier sur toutes les clefs, toutes les mesures et tous les tons ..."	"0\$aParis,$bChez l'auteur; De l'impr. de Richomme$c[1770]"	"[4], 127 p.music."	B 704		990003644			No		RISM ID no. 	990003644	RISM ID no. 990003644
a3795910	"Ballard, Christophe,1641-1715."	"10$aTendresses bacchiques;$bou, Duo et trio melez de petits airs, tendres et a boire, des meilleurs auteurs.  Avec une capilotade ou alphabet de chansons a deux parties.$cRecüeillies & mises en ordre par Christophe Ballard."	"00$aParis,$c1712-1718."	2 v.front.	"VI, 384"		Not in RISM							
a3795926	"Beattie, James,1735-1803"	"00$aEssays on poetry and music,$bas they affect the mind; on laughter and ludicrous composition; on the utility of classical learning."	"00$aEdinburgh,$bPrinted for E. and C. Dilly, in London, and W. Creech, Edinburgh,$c1778."	"vi, [1], 555 p."		"VI, 127"	Not in RISM							
a3796349	"Brown, John,1715-1766"	"10$aDell'origine,$bunione, e forza progressi, separazioni, e corruzioni della poesia, e della musica.$cDissertazione ... tradotta in lingua italiana dall'originale inglese, ed accresciuta di note dal dottor Pietro Crocchi.  A cui si aggiunge La cura di Saule, ode sacra dell'istesso autore, tradotta fedelmente in poesia italiana di metro irregolare a confronto del testo inglese da Oresbio Agieo P.A."	"0\$aFirenze,$bStamperia Bonducciana,$c1772."	"[4], 248 p."		"VI, 182"	Not in RISM							
a3796378	"Burney, Charles,1726-1814."	"12$aA general history of music,$bfrom the earliest ages to the present period.  To which is prefixed a dissertation on the music of the ancients."	"0\$aLondon :$bThe Author; sold by T. Becket [etc.],$c1776-89."	4 v.music (1 fold) plates (part fold) port.		"VI, 190"	Not in RISM							
a3796580	"[Chabanon, Michel Paul Gui de]1730-1792"	"10$aUeber die Musik und deren Wirkungen,$cmit Anmerkungen hrsg. von Johann Adam Hiller."	"0\$aLeipzig,$bF.G. Jacobäer,$c1781."	"xxviii, 228 p.music."		"VI, 217"	Not in RISM							
a3796587		"00$aChansons choisies,$cavec les airs notés."	0\$aGenève [Lyon]$c1782.	4 v.front.		"II, 127"	991007011				Titles do not quite match up	RISM ID no. 	991007011	RISM ID no. 991007011
a3796626	"Choquel, Henri Louis,d. 1767"	"13$aLa musique rendue sensible par la méchanique;$bou, Nouveau systeme pour apprendre facilement la musique soi-même.  Ouvrage utile et curieux."	"0\$aParis,$bC. Ballard, seul Imprimeur du Roi pour la musique,$c1762."	"[6], 19, xiv, 213, [4] p.diagrs., music, fold. plate."		"VI, 222"	Not in RISM							
a3796942	"Duport, J. L.(Jean Louis),1749-1819."	00$aEssai sur le doigté du violoncello et sur la conduite de l'archet.	"0\$aParis,$bJanet et Cotelle$c[between 1825 and 1827]"	"[1], 269 p.music."	D 3870		990015583			No		RISM ID no. 	990015583	RISM ID no. 990015583
a3796990	"Eastcott, Richard,1740-1828"	"10$aSketches of the origin,$bprogress and effects of music, with an account of the ancient bards and minstrels;$billustrated with various historical facts, interesting anecdotes, & poetical quotations."	"0\$aBath,$bPrinted and sold by S. Hazard,$c1793."	"vii, [3], viii, iv, [1], 277, [1] p."		"VI, 287"	Not in RISM							
a3797016	"Erculeo, Marzio,1623-1706"	12$aIl canto ecclesiastico.	"0\$aModana,$bEredi Cassiani stamp.,$c1686."	"[28], 65, [7] p.illus."		"VI, 293"	Not in RISM							
a3797019	"Euler, Leonhard,1707-1783"	"10$aTentamen novae theoriae mvsicae,$bex certissimis harmoniae principiis dilvcide expositae."	"0\$aPetropoli,$bEx typographia Academiae scientiarvm,$c1739."	"21, [1], 263 p.illus. (part fold.) fold. music."		"VI, 298"	Not in RISM							
a3797021	"Eximeno y Pujades, Antonio,1729-1808"	"10$aDell'origine e delle regole della musica,$bcolla storia del suo progresso, decadenza, e rinnovazione."	"0\$aRoma,$bStamperia di M.A. Barbiellini,$c1774."	"[12], 16, [9], 22-466 (i.e. 470), [1] p.illus., 23 fold. plates (incl. music) port."		"VI, 299"	Not in RISM				Has the same B number as row 736?			
a3797023	"Eximeno y Pujades, Antonio,1729-1808"	10$aDubbio di D. Antonio Eximeno sopra il Saggio fondamentale practico di contrappunto del reverendissimo padre maestro Giambattista Martini.	"0\$aRoma,$bStamperia di M. Barbiellini,$c1775."	"viii, 120 p."		"VI, 299"	Not in RISM							
a3797106	"Franck, Johann,1618-1677"	"10$aJohann Franckens geistliches Sion;$bdas ist, Neue geistl. Lieder und Psalmen, nebst beygefügten, theils bekanten, theils lieblichen neuen Melodeyen, sambt der Vater-unsers-Harffe, wie auch sein Irrdischer Helicon, oder, Lob-, Lieb- und Leid-Getichte, und dessen verneuerte Susanna.  Sambt hinzugethanen denen Liebhabern der deutschen Poesie dienlichen Erklährungen der Redens-Arten und Historien auch hierzu nöthigen Registern."	"00$aGuben,$bC. Gruber,$c1674."	"[16], 253, [19], 122, [38], 356, [28], 169, [7], 92, [4] p."		VIII: 1674/16	Not in RISM							
a3797139	"Galeazzi, Francesco,1758-1819"	"10$aElementi teorico-pratici di musica :$bcon un saggio sopra l'arte di suonare il violino analizzata, ed a dimostrabili principi ridotta /$copera utilissima a chiunque vuol applicare con profitto alla musica, e specialmente a' principianti, dilettanti, e professori di violino, di Francesco Galeazzi ..."	"00$aRoma,$bStamperia Pilucchi Cracas,$c1791-96."	2 v. :18 fold. plates (music) fold. table.		"VI, 344"	Not in RISM							
a3797222	"Framery, Nicolas Etienne,1745-1810."	"00$aMusique,$cpubliée par MM. Framery et Ginguené."	"0\$aParis,$bPanckoucke,$c1791-1818."	"2 v. in 3.illus., music, fold. table."		"VI, 326"	Not in RISM							
a3797243	"Gerber, Ernst Ludwig,1746-1819"	"00$aHistorisch-biographisches Lexicon der Tonkünstler,$bwelches Nachrichten von dem Leben und Werken musikalischer Schriftsteller, berühmter Componisten, Sänger, ... Orgel- und Instrumentenmacher enthält."	"0\$aLeipzig,$bJ.G.I. Breitkopf,$c1790-92."	2 v.		"VI, 357"	Not in RISM							
a3797335	"Gow, Niel,1727-1807"	00$aFirst book of Niel Gow's reels.	"0\$aEdinburgh,$bPrinted and sold by Gow & Shepherd, and by J. Gow, London$c[1801?]"	"[1] p., score (36 p.)"	G 3242		990022328			No		RISM ID no. 	990022328	RISM ID no. 990022328
a3797422	"Grétry, André-Ernest-Modeste,1741-1813"	"00$aMéthode simple pour apprendre à préluder en peu de temps,$bavec toutes les ressources de l'harmonie."	"0\$aParis,$bDe l'Impr. de la République, an X$c[1802]"	"[1], 95 p.music, port."	GG 4581		990023439			Yes		RISM ID no. 	990023439	RISM ID no. 990023439
a3797610	"Haydn, Joseph,1732-1809"	14$aDie Worte des Erloesers am Kreuze.	"0\$aLeipzig,$bBreitkopf & Härtel$c[pref. 1801]"	"[3] p., score (112 p.)"	H 2519		990026684			No		RISM ID no. 	990026684	RISM ID no. 990026684
a3797646	"Haydn, Joseph,1732-1809."	00$aStabat mater;$ba quatre voix et choeurs.$cExecuté pour la premier fois au Concert spirituel le 9. avril 1781.	"0\$aParis,$bGravé par Richomme; Chez Sieber$c[1781?]"	score (154 p.)	H 2514		990026679			No		RISM ID no. 	990026679	RISM ID no. 990026679
a3797715	"Iriarte, Tomás de,1750-1791."	"03$aLa música,$bpoema."	"0\$aMadrid,$bEn la imprenta real de la Gazeta,$c1779."	"[20], 126, xl, [1] p.plates."		"VI, 429"	Not in RISM							
a3797724	"Jamard, T.,1734-1815"	10$aRecherches sur la théorie de la musique.	"00$aParis,$bJombert$c[etc.] 1769."	"[3], xxvij, [1], 296, [4] p.fold. plate."		"VI, 432"	Not in RISM							
a3797729	"Le Pileur d'Apligny,"	"10$aTraité sur la musique,$bet sur les moyens d'en perfectionner l'expression."	"00$aParis,$bDemonville [etc.]$c1779."	"[1], viii, 174, [2] p."		"VI, 499"	Not in RISM							
a3797732	"Javurek, B."	03$aLe menuet de la cour et la gavotte de Vestris variés pour le piano forte.	"00$aParis,$bFrere$c[between 1801 and 1813]"	"[1], 7 p."	J 502		990032567			No		RISM ID no. 	990032567	RISM ID no. 990032567
a3797808	"Kelly, Thomas,1769-1855"	00$aHymns.	"0\$aDublin,$bM. Mc.Calley$c[between 1801 and 1814]"	"[1], 18 p."	EE 781az		991018020	EE 781a		No		RISM ID no. 	991018020	RISM ID no. 991018020
a3797810	"Kircher, Athanasius,1602-1680"	"10$aMvsvrgia vniversalis;$bsive, Ars magna consoni et dissoni in X. libros digesta ..."	"0\$aRomae,$bEx typographia haeredum F. Corbelletti,$c1650."	"2 v.illus., plates (part fold.) port., diagrs., music, tables."		"VI, 449"	Not in RISM							
